,rideable_type,started_at,start_station_name,end_station_name,member_casual
1,classic_bike,2022-01-10 06:42:18,W 63 St & Broadway,E 53 St & Madison Ave,member
2,classic_bike,2022-01-06 18:16:46,Broadway & W 29 St,5 Ave & E 29 St,casual
3,classic_bike,2022-02-06 14:02:25,E 25 St & 2 Ave,1 Ave & E 18 St,member
4,electric_bike,2022-02-23 06:41:49,W 116 St & Broadway,E 106 St & Madison Ave,casual
5,electric_bike,2022-02-02 13:46:29,3 St & 7 Ave,West Drive & Prospect Park West,casual
6,electric_bike,2022-03-12 14:42:39,W 43 St & 10 Ave,E 39 St & Lexington Ave,member
7,electric_bike,2022-03-28 17:21:29,W 20 St & 10 Ave,E 53 St & Lexington Ave,casual
8,electric_bike,2022-03-27 11:05:13,Hancock St & Bedford Ave,Schermerhorn St & Bond St,member
9,classic_bike,2022-04-13 15:06:57,38 St & Northern Blvd,Crescent St & 35 Ave,member
10,classic_bike,2022-04-23 10:40:25,William St & Pine St,Spruce St & Nassau St,member
11,electric_bike,2022-04-24 16:58:03,W 29 St & 9 Ave,11 Ave & W 59 St,casual
12,classic_bike,2022-05-23 18:36:33,Clinton St & Joralemon St,Henry St & Degraw St,member
13,classic_bike,2022-05-17 13:27:23,9 Ave & W 45 St,W 42 St & 6 Ave,member
14,classic_bike,2022-05-06 07:34:05,W 4 St & 7 Ave S,W 30 St & 10 Ave,member
15,classic_bike,2022-06-01 16:18:38,E 19 St & 3 Ave,W 15 St & 10 Ave,member
16,electric_bike,2022-06-20 15:08:17,W 16 St & The High Line,W 30 St & 8 Ave,member
17,electric_bike,2022-06-27 13:55:44,W 129 St & Convent Ave,Lexington Ave & E 111 St,casual
18,classic_bike,2022-07-26 09:57:46,Stanton St & Chrystie St,Broadway & Battery Pl,member
19,classic_bike,2022-07-05 00:04:39,Ave A & E 11 St,Suffolk St & Stanton St,casual
20,classic_bike,2022-07-17 11:56:23,Broadway\t& W 48 St,E 56 St & Madison Ave,casual
21,classic_bike,2022-08-10 02:35:03,Washington St & Gansevoort St,W 4 St & 7 Ave S,casual
22,classic_bike,2022-08-05 19:59:35,Vernon Blvd & 10 St,Broadway & 12 St,member
23,classic_bike,2022-08-23 22:04:34,3 Ave & E 169 St,3 Ave & E 169 St,member
24,classic_bike,2022-09-28 14:47:23,E 40 St & 5 Ave,E 58 St & 3 Ave,member
25,electric_bike,2022-09-26 05:40:10,21 St & 21 Ave,21 St & 23 Ave,member
26,classic_bike,2022-09-25 14:32:08,E 35 St & Madison Ave,E 43 St & 2 Ave,casual
28,classic_bike,2022-10-21 16:26:16,Albany St & Greenwich St,West End Ave & W 60 St,member
30,classic_bike,2022-11-10 14:48:35,W 45 St & 8 Ave,W 100 St & Manhattan Ave,member
31,electric_bike,2022-11-02 20:28:51,11 Ave & W 41 St,W 30 St & 8 Ave,member
32,classic_bike,2022-11-17 09:06:29,Driggs Ave & N 9 St,Greene St & Prince St,member
34,classic_bike,2022-12-15 09:57:16,E 39 St & Lexington Ave,Hudson St & W 13 St,member
35,classic_bike,2022-12-13 16:15:54,E 97 St & 3 Ave,E 40 St & Park Ave,member
